	LNR	Cluster_ID
0	1763	1.0
1	1771	7.0
2	1776	6.0
3	1460	6.0
4	1783	5.0
5	1789	0.0
6	1795	7.0
7	1493	7.0
8	1801	10.0
9	1834	10.0
10	1838	10.0
11	2512	8.0
12	2513	7.0
13	2515	6.0
14	2198	3.0
15	2528	1.0
16	2216	10.0
17	2554	6.0
18	2227	10.0
19	2666	9.0
20	2678	7.0
21	11125	8.0
22	11440	7.0
23	11141	6.0
24	11461	7.0
25	10861	8.0
26	10879	6.0
27	11195	10.0
28	10891	6.0
29	11214	7.0
30	10928	1.0
31	11251	6.0
32	10955	3.0
33	10956	10.0
34	11268	7.0
35	10960	9.0
36	10971	7.0
37	10976	8.0
38	11287	8.0
39	11295	6.0
40	11299	6.0
41	10981	1.0
42	10986	1.0
43	11940	7.0
44	11941	7.0
45	11942	8.0
46	11954	7.0
47	11654	1.0
48	11976	10.0
49	11977	7.0
50	11667	6.0
51	11993	8.0
52	11692	7.0
53	12001	3.0
54	12013	6.0
55	11725	7.0
56	11731	8.0
57	12027	1.0
58	11744	3.0
59	11751	3.0
60	11767	8.0
61	12072	6.0
62	12078	10.0
63	11783	8.0
64	12088	8.0
65	11510	6.0
66	11830	6.0
67	11539	8.0
68	11847	6.0
69	11851	10.0
70	11852	7.0
71	11855	3.0
72	11858	6.0
73	11554	8.0
74	11866	3.0
75	11566	8.0
76	11568	7.0
77	11886	6.0
78	11594	6.0
79	11606	7.0
80	12585	1.0
81	12612	10.0
82	12623	7.0
83	12634	6.0
84	12636	3.0
85	21578	10.0
86	21481	9.0
87	21491	7.0
88	21178	8.0
89	21186	7.0
90	21511	6.0
91	21210	8.0
92	21551	10.0
93	21557	10.0
94	21249	6.0
95	20940	8.0
96	20957	7.0
97	21259	6.0
98	21277	7.0
99	21286	6.0
100	20997	6.0
101	21305	6.0
102	21314	10.0
103	20999	8.0
104	21000	6.0
105	21001	6.0
106	21325	7.0
107	21329	7.0
108	21333	6.0
109	21027	1.0
110	21339	9.0
111	21043	7.0
112	21044	6.0
